tag,itens,categoria,modelo,serial,marca,valor,data_compra,fornecedor,po,nota_fiscal,uso,qtd,prateleira,rua,setor,box,conferido,local
IMP2508210030099,up2719h,outros,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030100,up2719h,outros,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030101,up2719h,outros,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030102,up2719h,outros,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030103,up2719h,outros,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030104,up2719h,outros,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030105,up2719h,outros,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030106,up2719h,outros,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030107,up2719h,outros,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030108,up2719h,outros,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030109,up2719h,outros,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030110,up2719h,outros,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030111,up2719h,outros,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030112,up2719h,outros,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030113,up2719h,outros,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030114,up2719h,outros,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030115,up2719h,outros,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030116,up2719h,outros,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030117,up2719h,outros,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030118,up2719h,outros,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030119,up2719h,outros,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030120,up2719h,outros,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030121,up2719h,outros,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030122,up2719h,outros,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030123,up2719h,outros,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030124,up2719h,outros,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030125,up2719h,outros,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030126,up2719h,outros,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030127,up2719h,outros,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030128,up2719h,outros,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030129,up2719h,outros,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030130,up2719h,outros,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030131,up2719h,outros,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030132,up2719h,outros,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030133,up2719h,outros,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030134,up2719h,outros,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030135,up2719h,outros,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030136,up2719h,outros,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030137,up2719h,outros,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030138,up2719h,outros,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030139,up2719h,outros,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030140,up2719h,outros,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030141,up2719h,outros,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030142,p2719h,outros,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030143,p2719h,outros,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030144,p2719h,outros,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030145,p2719h,outros,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030146,p2719h,outros,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030147,p2719h,outros,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030148,p2719h,outros,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030149,p2719h,outros,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030150,p2719h,outros,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030151,p2719h,outros,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030152,p2719h,outros,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030153,p2719h,outros,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030154,p2719h,outros,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030155,p2719h,outros,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030156,p2719h,outros,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030157,p2719h,outros,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030158,p2719h,outros,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030159,p2719h,outros,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030160,p2719h,outros,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030161,p2719h,outros,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030162,p2719h,outros,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030163,p2719h,outros,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030164,p2719h,outros,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030165,p2719h,outros,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030166,p2719h,outros,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030167,Item Importado,outros,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030168,Item Importado,outros,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030169,TVS,tv e monitor,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030170,Tipo,outros,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030171,TV,tv e monitor,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030172,TV,tv e monitor,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030173,TV,tv e monitor,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030174,Video Wall,audio e video,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030175,Video Wall,audio e video,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030176,TV,tv e monitor,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030177,TV,tv e monitor,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030178,TV,tv e monitor,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030179,TV,tv e monitor,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030180,Video Wall,audio e video,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030181,Video Wall,audio e video,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030182,TV,tv e monitor,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030183,Monitor,tv e monitor,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030184,Monitor,tv e monitor,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030185,Monitor,tv e monitor,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030186,Monitor,tv e monitor,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030187,TV,tv e monitor,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030188,TV,tv e monitor,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030189,TV,tv e monitor,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030190,TV,tv e monitor,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030191,TV,tv e monitor,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030192,TV,tv e monitor,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030193,TV,tv e monitor,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030194,TV,tv e monitor,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030195,TV,tv e monitor,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030196,Marca,outros,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030197,Samsung,outros,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030198,Samsung,outros,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030199,Samsung,outros,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030200,Philips,outros,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030201,Samsung,outros,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030202,Samsung,outros,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030203,Samsung,outros,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030204,Philco,outros,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030205,LG,outros,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030206,LG,outros,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030207,LG,outros,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030208,Samsung,outros,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030209,Sony,outros,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030210,LG,outros,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030211,Samsung,outros,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030212,LG,outros,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030213,LG,outros,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030214,LG,outros,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030215,Samsung,outros,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030000,Item Importado,outros,,AUTO0463,,0.0,2025-08-21 00:30:37.499768,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030001,Item Importado,outros,,AUTO0463,,0.0,2025-08-21 00:30:37.499768,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030002,MODELO,outros,,AUTO0463,,0.0,2025-08-21 00:30:37.499768,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030003,P2719h,outros,,AUTO0463,,0.0,2025-08-21 00:30:37.499768,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030004,P2719h,outros,,AUTO0463,,0.0,2025-08-21 00:30:37.499768,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030005,P2719h,outros,,AUTO0463,,0.0,2025-08-21 00:30:37.499768,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030006,P2719h,outros,,AUTO0463,,0.0,2025-08-21 00:30:37.499768,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030007,P2719h,outros,,AUTO0463,,0.0,2025-08-21 00:30:37.499768,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030008,P2719h,outros,,AUTO0463,,0.0,2025-08-21 00:30:37.499768,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030009,P2719h,outros,,AUTO0463,,0.0,2025-08-21 00:30:37.499768,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030010,P2719h,outros,,AUTO0463,,0.0,2025-08-21 00:30:37.499768,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030011,P2719h,outros,,AUTO0463,,0.0,2025-08-21 00:30:37.499768,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030012,P2719h,outros,,AUTO0463,,0.0,2025-08-21 00:30:37.499768,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030013,P2719h,outros,,AUTO0463,,0.0,2025-08-21 00:30:37.499768,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030014,P2719h,outros,,AUTO0463,,0.0,2025-08-21 00:30:37.499768,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
